,Sentence,Intent,Color,Item
3540,dsrwhhfbyobhgscf,unknown,unknown,unknown
11818,qhqtswg,unknown,unknown,unknown
16039,iycffhirhtvjkuvlmto,unknown,unknown,unknown
4527,lmfokoyclmpfpfzaior,unknown,unknown,unknown
601,itrzsylmtduflmcu,unknown,unknown,unknown
4318,rvxlmio,unknown,unknown,unknown
8743,lmzcrnxh,unknown,unknown,unknown
15319,zjtkjodgsncfuo,unknown,unknown,unknown
14387,hfhylmbjzpwcoc,unknown,unknown,unknown
4937,au,unknown,unknown,unknown
3694,iytfrufpdqbwbegvh,unknown,unknown,unknown
10986,nhhzqcbp,unknown,unknown,unknown
14703,buqrl,unknown,unknown,unknown
12580,dbonhzdsfe,unknown,unknown,unknown
1358,idgt,unknown,unknown,unknown
2577,ayzg,unknown,unknown,unknown
10664,hjgordcrknon,unknown,unknown,unknown
3720,pn,unknown,unknown,unknown
4172,kvjosn,unknown,unknown,unknown
8867,aplmngzvkj,unknown,unknown,unknown
98,can i find a pantalon,Check Availability,unknown,pantalon
5016,rkdubdfpxnwffudc,unknown,unknown,unknown
10954,vxegtbulmdlmb,unknown,unknown,unknown
5421,some gray jeans,unknown,gray,jeans
11398,enxtatxrtagzu,unknown,unknown,unknown
14440,ywcvyoqjjserjuditu,unknown,unknown,unknown
12732,rtdacuwqooey,unknown,unknown,unknown
7711,bjjn,unknown,unknown,unknown
10011,foeqaeidtpbxg,unknown,unknown,unknown
12516,qvoivcoih,unknown,unknown,unknown
12243,filmwrswojgfwknotc,unknown,unknown,unknown
985,eouse,unknown,unknown,unknown
14510,pvafcvtqfubkxskssq,unknown,unknown,unknown
7845,patchkiqcp,unknown,unknown,unknown
14642,izejfdggxrlmxnrlmb,unknown,unknown,unknown
4923,you are speaking,unknown,unknown,unknown
14509,taea,unknown,unknown,unknown
16070,xlme,unknown,unknown,unknown
1588,flmkpgelmcxqktn,unknown,unknown,unknown
192,bjievqlmohjah,unknown,unknown,unknown
12942,gexwrlmduz,unknown,unknown,unknown
3251,vxklmfch,unknown,unknown,unknown
15369,tafou,unknown,unknown,unknown
8788,qswfkvefo,unknown,unknown,unknown
2193,serjyojysw,unknown,unknown,unknown
16182,qzyjienjujusoqnsjuu,unknown,unknown,unknown
14500,lmpd,unknown,unknown,unknown
13793,ooffypqhycofo,unknown,unknown,unknown
2255,do you still have a orange short,Check Availability,orange,short
2751,gaekun,unknown,unknown,unknown
11599,xskqlmurhwkz,unknown,unknown,unknown
671,v,unknown,unknown,unknown
3943,what about the blue jeans,unknown,blue,jeans
5880,cjncqjantptpxksk,unknown,unknown,unknown
4896,She was cleaning the home,unknown,unknown,unknown
1269,binpiv,unknown,unknown,unknown
5643,lmesdorvrhu,unknown,unknown,unknown
15383,errsxowr,unknown,unknown,unknown
15578,zhisznvjutirckka,unknown,unknown,unknown
3914,what is the price of a gray body,Asking for the price,gray,body
13439,xbvcibtptxjsdzbps,unknown,unknown,unknown
1222,can i find a red dress,Check Availability,red,dress
4801,exuvx,unknown,unknown,unknown
13668,olmrkwlmdrihis,unknown,unknown,unknown
11427,snvwqs,unknown,unknown,unknown
10884,qxh,unknown,unknown,unknown
7207,rfnyqazkwhof,unknown,unknown,unknown
8375,nhhxsenzgulmlm,unknown,unknown,unknown
16005,prhtkozsvyfefrax,unknown,unknown,unknown
13855,xzdtytcpsykadxsij,unknown,unknown,unknown
9791,lmwzrvzlmwulmtqa,unknown,unknown,unknown
13517,oueqyqesctuh,unknown,unknown,unknown
6489,do you have a t-shirt,Check Availability,unknown,t-shirt
9748,iukpngcbapxqovjsz,unknown,unknown,unknown
8407,julmz,unknown,unknown,unknown
4913,how much does a green short cost,Asking for the price,green,short
9715,cwnqckawpijl,unknown,unknown,unknown
2865,do you have a black pullover,Check Availability,black,pullover
13170,gopvwythbzyjsfra,unknown,unknown,unknown
4972,what about purple jacket,unknown,purple,jacket
5536,do you still have a hat,Check Availability,unknown,hat
18,xdp,unknown,unknown,unknown
13272,szocsfeuiafjzpzkzzz,unknown,unknown,unknown
13898,qhbgjhcdeukfk,unknown,unknown,unknown
10178,daroftclmgjdnsebg,unknown,unknown,unknown
14939,rbswdlmknoipwu,unknown,unknown,unknown
10996,enufthsbrkiweeekejw,unknown,unknown,unknown
337,flmyadstlmglmkprwn,unknown,unknown,unknown
5965,can i find a yellow shirt,Check Availability,yellow,shirt
10428,hfg,unknown,unknown,unknown
5210,gvct,unknown,unknown,unknown
10489,cbnikrkgztqqjovp,unknown,unknown,unknown
14130,riwqeypfyqqrq,unknown,unknown,unknown
7964,tddxfn,unknown,unknown,unknown
12215,ogyqjyuaiwpqiek,unknown,unknown,unknown
3724,fsf,unknown,unknown,unknown
2965,qlmfxlmw,unknown,unknown,unknown
10950,esw,unknown,unknown,unknown
7293,rwsslmpjievlmao,unknown,unknown,unknown
15141,pih,unknown,unknown,unknown
8645,puyoritckxtdfgz,unknown,unknown,unknown
14954,ekyvazipkifkoswr,unknown,unknown,unknown
9117,xnl,unknown,unknown,unknown
3442,He was watching television,unknown,unknown,unknown
15508,ilmctq,unknown,unknown,unknown
10112,qhotttzfyax,unknown,unknown,unknown
7386,dxukax,unknown,unknown,unknown
3840,eukkuhf,unknown,unknown,unknown
416,newnfkf,unknown,unknown,unknown
10250,cgxavtiaucvbrn,unknown,unknown,unknown
13973,crgfkvnxgfsv,unknown,unknown,unknown
368,joxpsjkrus,unknown,unknown,unknown
2659,is there available a chemise,Check Availability,unknown,chemise
2613,itpfznyesys,unknown,unknown,unknown
1188,kbivsecy,unknown,unknown,unknown
5426,hvdtvpnnulmcc,unknown,unknown,unknown
5741,what is the price of a cyan jacket,Asking for the price,cyan,jacket
3353,do you have a dress,Check Availability,unknown,dress
6070,vx,unknown,unknown,unknown
15516,fzsceoqtgz,unknown,unknown,unknown
6295,Sara is talking,unknown,unknown,unknown
14271,fhyyj,unknown,unknown,unknown
16371,do u have brown shoes,Check Availability,unknown,shoes
6523,oujw,unknown,unknown,unknown
1150,puegqriff,unknown,unknown,unknown
12563,xtsxd,unknown,unknown,unknown
15004,tez,unknown,unknown,unknown
1168,what about black pullover,unknown,black,pullover
1473,piiikwwpjdj,unknown,unknown,unknown
5668,ze,unknown,unknown,unknown
1176,itjnnf,unknown,unknown,unknown
6044,lmlmiifqvneaca,unknown,unknown,unknown
2284,cobygeheck,unknown,unknown,unknown
9053,ahrgeusqjxlmvlm,unknown,unknown,unknown
1644,what is the price of a green dress,Asking for the price,green,dress
12442,sdwyoja,unknown,unknown,unknown
13964,vskbnyjonnd,unknown,unknown,unknown
10050,txofqhqeygffrnsyb,unknown,unknown,unknown
9442,dunecgjjnkbwo,unknown,unknown,unknown
6815,huqx,unknown,unknown,unknown
11323,nyvuaunjuvqxiqx,unknown,unknown,unknown
5354,xutaerqrrpdsrv,unknown,unknown,unknown
725,ke,unknown,unknown,unknown
14394,ngxgvpugh,unknown,unknown,unknown
6876,can i find a pink dress,Check Availability,pink,dress
15747,evavepyivhyp,unknown,unknown,unknown
1104,what is the price of a brown skirt,Asking for the price,brown,skirt
12319,oaqogkkuwgvix,unknown,unknown,unknown
519,what about the cyan pantalon,unknown,cyan,pantalon
11980,wbbwu,unknown,unknown,unknown
421,rxlmtdy,unknown,unknown,unknown
10619,veoifvwrznlmibqdii,unknown,unknown,unknown
5381,almwhn,unknown,unknown,unknown
686,fptylmierchyapl,unknown,unknown,unknown
118,Maria was watching television,unknown,unknown,unknown
5759,ulmzbuchkpqoryn,unknown,unknown,unknown
11339,sjqnqopqxigwehqoby,unknown,unknown,unknown
13583,irtepsopznaxyblmjrx,unknown,unknown,unknown
4109,rcasfylmkq,unknown,unknown,unknown
15427,nhsqnphjwpnizjsx,unknown,unknown,unknown
5600,aottqxnvdwszicaqsd,unknown,unknown,unknown
6637,what is the price of a brown dress,Asking for the price,brown,dress
2133,some black pullover,unknown,black,pullover
1442,fvijagew,unknown,unknown,unknown
13434,tadwanvlmtq,unknown,unknown,unknown
12958,jonsxogfcxdclmurbcp,unknown,unknown,unknown
14520,xlmu,unknown,unknown,unknown
4505,qbttjny,unknown,unknown,unknown
16331,jqhktetwaydqfkrvrq,unknown,unknown,unknown
11694,qejyvvbsey,unknown,unknown,unknown
9222,ovenknbciyadxpdst,unknown,unknown,unknown
10244,uopcsoiopycqlma,unknown,unknown,unknown
2669,ungriyyhlm,unknown,unknown,unknown
3563,lmtsxx,unknown,unknown,unknown
14142,wc,unknown,unknown,unknown
15036,wyrgsjzkpzdf,unknown,unknown,unknown
7059,uhhrisb,unknown,unknown,unknown
1613,eydpbsreawox,unknown,unknown,unknown
10861,aujej,unknown,unknown,unknown
5944,is there a jacket,Check Availability,unknown,jacket
13734,vfsnsj,unknown,unknown,unknown
904,ayyeejffyorwctyxk,unknown,unknown,unknown
15061,ouedjknrlmohytr,unknown,unknown,unknown
12925,vokxkosdiqcd,unknown,unknown,unknown
9345,qgaaphlmy,unknown,unknown,unknown
2171,ufkfrnxooglmzptcena,unknown,unknown,unknown
3088,wyoyweyrtifdfzhbt,unknown,unknown,unknown
8072,nygbabzkp,unknown,unknown,unknown
6593,qakozw,unknown,unknown,unknown
10152,bwfzvulmvdyhhu,unknown,unknown,unknown
14072,hxhkfvap,unknown,unknown,unknown
13538,dhnexoazirzx,unknown,unknown,unknown
696,xkpbqqyrfiosf,unknown,unknown,unknown
6356,lmavkbbhsu,unknown,unknown,unknown
356,what about green jeans,unknown,green,jeans
2338,may i ask for a red dress,Check Availability,red,dress
13446,jgslm,unknown,unknown,unknown
12618,jsvjpkgwf,unknown,unknown,unknown
13974,obzerxrqy,unknown,unknown,unknown
11971,blmtzxlmksawvor,unknown,unknown,unknown
5136,may i ask for a yellow shoes,Check Availability,yellow,shoes
201,xunx,unknown,unknown,unknown
7434,zkb,unknown,unknown,unknown
730,jrgfnxss,unknown,unknown,unknown
16162,pqeisjxdufqosyjui,unknown,unknown,unknown
11476,wato,unknown,unknown,unknown
12128,hcplmtjreslmt,unknown,unknown,unknown
12617,zkos,unknown,unknown,unknown
11646,pkotn,unknown,unknown,unknown
12026,exrqeupdlmulmlmavj,unknown,unknown,unknown
14955,vhofvtrtdzqhzxjhs,unknown,unknown,unknown
15731,wnpxoynsus,unknown,unknown,unknown
3137,fsdhpxn,unknown,unknown,unknown
4079,skkujprxlmgibenyj,unknown,unknown,unknown
15118,lmnpjkhkabsraqbwxpk,unknown,unknown,unknown
10951,ybjwzwtnu,unknown,unknown,unknown
14702,sbqxt,unknown,unknown,unknown
3758,is there available a gray chemise,Check Availability,gray,chemise
10358,obqtnovuio,unknown,unknown,unknown
512,dnaokndv,unknown,unknown,unknown
1197,is there a purple shoes,Check Availability,purple,shoes
955,what about a white shoes,unknown,white,shoes
14967,nrfafpdkpbzukpnbc,unknown,unknown,unknown
4258,rq,unknown,unknown,unknown
3728,what about a red skirt,unknown,red,skirt
12547,rdxvnzfpveou,unknown,unknown,unknown
4085,rgoxqqwjqzqi,unknown,unknown,unknown
15438,qpuurssph,unknown,unknown,unknown
14161,blmvj,unknown,unknown,unknown
15996,pvjfgatknzre,unknown,unknown,unknown
4596,pylmcv,unknown,unknown,unknown
10829,rnssg,unknown,unknown,unknown
14441,duuujch,unknown,unknown,unknown
13651,civeraivtjh,unknown,unknown,unknown
11932,qahaebzhybc,unknown,unknown,unknown
14345,objiwpio,unknown,unknown,unknown
12098,buxjopgxpxbrnvux,unknown,unknown,unknown
11947,xjsddviplmfktbcab,unknown,unknown,unknown
4338,may i ask for a blue t-shirt,Check Availability,blue,t-shirt
9615,pzfddv,unknown,unknown,unknown
4716,can i find a brown pullover,Check Availability,brown,pullover
12450,qusqzevkxxckuuh,unknown,unknown,unknown
1354,i am looking for a black body,Check Availability,black,body
11943,se,unknown,unknown,unknown
7919,qoacfajhsa,unknown,unknown,unknown
181,selmlmdiucyh,unknown,unknown,unknown
5261,bzphuhkadklm,unknown,unknown,unknown
15211,wadnl,unknown,unknown,unknown
13542,qvsscfndx,unknown,unknown,unknown
6957,nhwqkpujiaa,unknown,unknown,unknown
4204,xyydwpaxpj,unknown,unknown,unknown
2360,gq,unknown,unknown,unknown
12512,hxyoush,unknown,unknown,unknown
9284,jhzfywxg,unknown,unknown,unknown
2480,iqqjeetavfeujeyoux,unknown,unknown,unknown
10149,dwyjstbhppg,unknown,unknown,unknown
1060,wylmoofvuyqc,unknown,unknown,unknown
4059,some yellow chemise,unknown,yellow,chemise
5343,ivdquhxclmf,unknown,unknown,unknown
7578,uceyalmuqgjo,unknown,unknown,unknown
12711,zocqvodppuhvqn,unknown,unknown,unknown
9832,iqykdrsexxeo,unknown,unknown,unknown
2429,nofdbscbjex,unknown,unknown,unknown
3269,uya,unknown,unknown,unknown
8359,pjyhequxozjkfqznidu,unknown,unknown,unknown
3158,uwcxk,unknown,unknown,unknown
5158,how much does a yellow dress cost,Asking for the price,yellow,dress
15113,fhnsvtpgjdbibduype,unknown,unknown,unknown
16376,i want to order a black shirt,Asking for the price,black,shirt
1753,sycg,unknown,unknown,unknown
14731,zhsbdrxtfyqinq,unknown,unknown,unknown
9307,lmbcbovdqynhz,unknown,unknown,unknown
6175,zduk,unknown,unknown,unknown
16288,xdao,unknown,unknown,unknown
8695,rwupd,unknown,unknown,unknown
2617,rplmwnnziwpkk,unknown,unknown,unknown
425,what is the price of a purple body,Asking for the price,purple,body
12392,npfvh,unknown,unknown,unknown
12550,qvjsweackuq,unknown,unknown,unknown
15333,zrnqiru,unknown,unknown,unknown
12300,sfdvjkrxguca,unknown,unknown,unknown
8463,xihhyzrekniiyvyha,unknown,unknown,unknown
1207,zwu,unknown,unknown,unknown
921,some blue hat,unknown,blue,hat
2407,khkjkqcrv,unknown,unknown,unknown
11363,afryxivqpzwzgd,unknown,unknown,unknown
1353,fzehihcj,unknown,unknown,unknown
15967,nlmucalmritizysfw,unknown,unknown,unknown
16140,ndubf,unknown,unknown,unknown
5035,may i ask for a green body,Check Availability,green,body
7651,ywdeccubuzx,unknown,unknown,unknown
4091,ghxobqa,unknown,unknown,unknown
9797,gwkdaqhfhn,unknown,unknown,unknown
15287,jrvhqdhzyklmuu,unknown,unknown,unknown
2481,how much does a blue shoes cost,Asking for the price,blue,shoes
11752,jzglmhi,unknown,unknown,unknown
4967,bkslmvy,unknown,unknown,unknown
12930,rdfiehdqvzzoe,unknown,unknown,unknown
6575,what about a green chemise,unknown,green,chemise
9490,xbvstsgzafg,unknown,unknown,unknown
13533,tdpxuxgtqut,unknown,unknown,unknown
273,nfkkqkddf,unknown,unknown,unknown
818,okqah,unknown,unknown,unknown
5414,gvnucjctayhzw,unknown,unknown,unknown
13604,nefq,unknown,unknown,unknown
8323,sjnykd,unknown,unknown,unknown
6385,how much does a white pullover cost,Asking for the price,white,pullover
8425,xbdcznwjyognegpnfcy,unknown,unknown,unknown
6124,may i ask for a pink chemise,Check Availability,pink,chemise
11704,vbkgpbhlmadq,unknown,unknown,unknown
4550,slmdyfxyvjdbbnztbs,unknown,unknown,unknown
6459,lmffyahgyennvbskhk,unknown,unknown,unknown
4081,yqx,unknown,unknown,unknown
10230,ohlmroae,unknown,unknown,unknown
13276,ytgxdupp,unknown,unknown,unknown
5892,do you still have a blue shirt,Check Availability,blue,shirt
13701,vtjdylmrbil,unknown,unknown,unknown
8786,bdopqcipjsha,unknown,unknown,unknown
12970,yapoaepjxpz,unknown,unknown,unknown
9815,hgydhjlmylm,unknown,unknown,unknown
15929,ulmbvxzzrlma,unknown,unknown,unknown
10291,iqhziauxsuy,unknown,unknown,unknown
6434,some green dress,unknown,green,dress
7119,what about purple short,unknown,purple,short
6018,lmccoalmeabqa,unknown,unknown,unknown
2634,khgrqrwrtahfeafww,unknown,unknown,unknown
12422,igbijuqcpkuceevrkx,unknown,unknown,unknown
1620,iwozyonyjeckjnjcxg,unknown,unknown,unknown
13418,fqstvsff,unknown,unknown,unknown
3388,heaiyhphzyfrp,unknown,unknown,unknown
10612,pxkn,unknown,unknown,unknown
5037,bshorrjzxffztb,unknown,unknown,unknown
8608,dekprtpjkok,unknown,unknown,unknown
7675,xzzbdwebksbefsoc,unknown,unknown,unknown
3668,may i ask for a green shoes,Check Availability,green,shoes
1722,zidub,unknown,unknown,unknown
10723,yacblmbgiqbtqac,unknown,unknown,unknown
7494,btfbtzwo,unknown,unknown,unknown
12716,qrapruwlmv,unknown,unknown,unknown
2358,igfpcfeejpxaboqd,unknown,unknown,unknown
14657,nqddqwqrnlmtyg,unknown,unknown,unknown
15082,hlmj,unknown,unknown,unknown
4627,ahztpufopsr,unknown,unknown,unknown
3546,what about a cyan pantalon,unknown,cyan,pantalon
6676,lmp,unknown,unknown,unknown
7337,nxddynnnsjavajy,unknown,unknown,unknown
12808,ebufvkwjotuacq,unknown,unknown,unknown
8883,xgg,unknown,unknown,unknown
2206,tuqqxnvxttuytixr,unknown,unknown,unknown
15284,xwfbjechsjxajhnn,unknown,unknown,unknown
7742,uztxi,unknown,unknown,unknown
6680,cdsnfansunuitn,unknown,unknown,unknown
13185,jlmaobfua,unknown,unknown,unknown
5591,some green shirt,unknown,green,shirt
3836,wokwwdzirgyyacsqvgx,unknown,unknown,unknown
15279,hznpxqhajxd,unknown,unknown,unknown
3316,sxs,unknown,unknown,unknown
6137,tzjwhqxqvsynp,unknown,unknown,unknown
1404,xgjyatugpwstk,unknown,unknown,unknown
16265,venbwnhogtvukpkwit,unknown,unknown,unknown
15138,ocpixpjzclmfyxrydr,unknown,unknown,unknown
1206,what is the price of a green t-shirt,Asking for the price,green,t-shirt
7942,qrwjyfhdaoqybhxhyb,unknown,unknown,unknown
4800,do you have a cyan dress,Check Availability,cyan,dress
2711,aftcq,unknown,unknown,unknown
6204,i am looking for a yellow t-shirt,Check Availability,yellow,t-shirt
894,how much does a blue chemise cost,Asking for the price,blue,chemise
8113,ushu,unknown,unknown,unknown
9031,aw,unknown,unknown,unknown
1674,eqckiiqwx,unknown,unknown,unknown
10849,gpovrfb,unknown,unknown,unknown
1185,may i ask for a pink short,Check Availability,pink,short
6836,ae,unknown,unknown,unknown
1279,is the orange pullover expensive ?,unknown,orange,pullover
14692,puiryihwixcq,unknown,unknown,unknown
7571,rftyewndzzi,unknown,unknown,unknown
6560,can i find a gray shirt,Check Availability,gray,shirt
8020,rjkcbhnzktjtbkdpqy,unknown,unknown,unknown
14672,qtdohjvycazqsodahl,unknown,unknown,unknown
13919,gflmnnpd,unknown,unknown,unknown
4681,pjriceaodrnhdaedq,unknown,unknown,unknown
14670,scghxgurchclmb,unknown,unknown,unknown
16294,jhczhryf,unknown,unknown,unknown
4821,can i find a brown shoes,Check Availability,brown,shoes
4831,fpxoveqxonrjcytjlm,unknown,unknown,unknown
15023,sgydtfsbqpzlmvkc,unknown,unknown,unknown
5481,uxurfy,unknown,unknown,unknown
945,is there a cyan pantalon,Check Availability,cyan,pantalon
12662,nfqntcp,unknown,unknown,unknown
3343,yvrtinjez,unknown,unknown,unknown
6873,ctzbue,unknown,unknown,unknown
10359,gaewzlmf,unknown,unknown,unknown
6030,eylmayjhfexxvlmqej,unknown,unknown,unknown
7424,jnyuybqeuqjgyt,unknown,unknown,unknown
6554,lmuoazlmtjte,unknown,unknown,unknown
1445,xtpkrgkvq,unknown,unknown,unknown
16011,axjhcqc,unknown,unknown,unknown
10155,iyvqlmztpyuknsiyo,unknown,unknown,unknown
8541,egxagvyfvbu,unknown,unknown,unknown
998,i am looking for a brown shirt,Check Availability,brown,shirt
7892,jbalm,unknown,unknown,unknown
13331,ztihkdv,unknown,unknown,unknown
2561,what about a yellow pantalon,unknown,yellow,pantalon
15400,tsdqnaqbbrlm,unknown,unknown,unknown
16398,good bye,unknown,unknown,unknown
8727,tbtx,unknown,unknown,unknown
9166,jgevnzlmdtcafhsgri,unknown,unknown,unknown
15010,hhwnkeuzsclmsbrw,unknown,unknown,unknown
5582,some black shoes,unknown,black,shoes
252,nwqodkxvyxcbh,unknown,unknown,unknown
12444,lmrv,unknown,unknown,unknown
10234,zjhnjwpsfrhh,unknown,unknown,unknown
5728,can i find a purple t-shirt,Check Availability,purple,t-shirt
13936,awtpegwdghxulmk,unknown,unknown,unknown
7614,xofzgi,unknown,unknown,unknown
9925,lmbetzedfq,unknown,unknown,unknown
11090,palmgehhdiyqwdoqx,unknown,unknown,unknown
13840,sbuzwxkuaqjgd,unknown,unknown,unknown
199,xxriedvrouygs,unknown,unknown,unknown
11387,pkfcfotwi,unknown,unknown,unknown
4232,zztsn,unknown,unknown,unknown
4756,xqhiquoqkeuqkgka,unknown,unknown,unknown
179,nrpgfnwlmyqqjquucy,unknown,unknown,unknown
1306,what about purple skirt,unknown,purple,skirt
4269,bihtke,unknown,unknown,unknown
4101,eansnhih,unknown,unknown,unknown
13131,iyipjerdrxkpy,unknown,unknown,unknown
7984,jsjrnugz,unknown,unknown,unknown
9074,rtei,unknown,unknown,unknown
1080,cvkbiwcgebwzbcnx,unknown,unknown,unknown
11297,egrbpqtkahrasofvdq,unknown,unknown,unknown
7452,lmsqhgusbkzgnklmyf,unknown,unknown,unknown
10125,zjlmfnnbhphbhx,unknown,unknown,unknown
2153,ubpcnkycsa,unknown,unknown,unknown
3703,what about the pink jacket,unknown,pink,jacket
14205,ygkgbawbgy,unknown,unknown,unknown
5008,lmbi,unknown,unknown,unknown
13410,qsxnhcf,unknown,unknown,unknown
12401,tlmfhftacwon,unknown,unknown,unknown
4934,efq,unknown,unknown,unknown
5129,some yellow jeans,unknown,yellow,jeans
12667,wkgyyodfwkjsernk,unknown,unknown,unknown
11402,jbsdazflmzilmeuja,unknown,unknown,unknown
7875,asxxdzurrnkkp,unknown,unknown,unknown
2012,lmgzyhjah,unknown,unknown,unknown
5380,okcnwcgadeezxqvkyf,unknown,unknown,unknown
308,ruopjpdhigbdfotsarf,unknown,unknown,unknown
8958,uro,unknown,unknown,unknown
9127,aekgwfi,unknown,unknown,unknown
4999,jgn,unknown,unknown,unknown
3232,is there a black shoes,Check Availability,black,shoes
3482,lmwcuxbiuaubuagww,unknown,unknown,unknown
13814,xuzpx,unknown,unknown,unknown
10616,agavn,unknown,unknown,unknown
16336,do you have black shirt,Check Availability,black,shirt
14738,oioafhpaatjqdlmtcu,unknown,unknown,unknown
2879,tepivtlmvqwfeulmy,unknown,unknown,unknown
5674,unkbzqfogrl,unknown,unknown,unknown
10666,grt,unknown,unknown,unknown
11354,evrhwchjdzgnblmb,unknown,unknown,unknown
9660,cpbuwlms,unknown,unknown,unknown
12094,tftwpbyt,unknown,unknown,unknown
2442,gvuvgyoggsspdlmsko,unknown,unknown,unknown
481,uwt,unknown,unknown,unknown
9992,vyx,unknown,unknown,unknown
2806,niwb,unknown,unknown,unknown
10755,tvbnfjzflmsxx,unknown,unknown,unknown
8868,roedjuy,unknown,unknown,unknown
9694,qzjktlmtchqtujyhco,unknown,unknown,unknown
7883,by,unknown,unknown,unknown
12936,xpyqklm,unknown,unknown,unknown
1313,hdukounpdhflmjwsdx,unknown,unknown,unknown
1113,do you have a orange chemise,Check Availability,orange,chemise
11580,ufqissab,unknown,unknown,unknown
7484,pouiga,unknown,unknown,unknown
4957,yxjpngfylmsulm,unknown,unknown,unknown
13250,ruriizcb,unknown,unknown,unknown
11358,tsnwik,unknown,unknown,unknown
7999,udfbtzyqvlmccso,unknown,unknown,unknown
7697,wsskiduvlmyiuz,unknown,unknown,unknown
11826,rlmua,unknown,unknown,unknown
5768,what about body,unknown,unknown,body
1888,cpqclm,unknown,unknown,unknown
3841,oxqilmlmfajarrk,unknown,unknown,unknown
9165,cqppa,unknown,unknown,unknown
12331,bsdixcczhjcrigbsjnn,unknown,unknown,unknown
2161,i am looking for a purple hat,Check Availability,purple,hat
2489,gwpkyprtgvoyskdn,unknown,unknown,unknown
8770,izercitsoyzune,unknown,unknown,unknown
9681,rzlmf,unknown,unknown,unknown
5732,iweqlmfd,unknown,unknown,unknown
13839,hecglmojoffl,unknown,unknown,unknown
3842,uruiqa,unknown,unknown,unknown
326,tousaiwcz,unknown,unknown,unknown
16229,yccpeytalmguyqe,unknown,unknown,unknown
9918,beqtzurngrkvvoad,unknown,unknown,unknown
2475,bunvzuclmygineg,unknown,unknown,unknown
10857,td,unknown,unknown,unknown
185,gdqouskqhedroyg,unknown,unknown,unknown
11021,xvwlmrkhtndn,unknown,unknown,unknown
11800,jykig,unknown,unknown,unknown
2151,rdaus,unknown,unknown,unknown
5747,kwknby,unknown,unknown,unknown
13348,xehxkjupxeilmrdz,unknown,unknown,unknown
2745,can i find a orange skirt,Check Availability,orange,skirt
14141,hsyh,unknown,unknown,unknown
4112,can i find a orange dress,Check Availability,orange,dress
5491,iqalmgngsgyndo,unknown,unknown,unknown
2614,can i find a pink t-shirt,Check Availability,pink,t-shirt
2735,is there a yellow jeans,Check Availability,yellow,jeans
846,is the green shoes expensive ?,unknown,green,shoes
14658,rnpotuosegox,unknown,unknown,unknown
11176,tiikisrgvtz,unknown,unknown,unknown
8367,cfswoaa,unknown,unknown,unknown
6872,voppncuiafqpcx,unknown,unknown,unknown
6622,eatiyua,unknown,unknown,unknown
1839,kdicnwtcjyyg,unknown,unknown,unknown
809,vhpxrgraf,unknown,unknown,unknown
14464,qxxpczywdfku,unknown,unknown,unknown
6686,wavfg,unknown,unknown,unknown
7545,lmlmkknoih,unknown,unknown,unknown
3042,yni,unknown,unknown,unknown
4382,what about a cyan shoes,unknown,cyan,shoes
15744,ujdxzphlmn,unknown,unknown,unknown
12246,rgrqflmreuribicrbox,unknown,unknown,unknown
13335,yswf,unknown,unknown,unknown
4114,ftnqguvz,unknown,unknown,unknown
3350,sxcfsbwfyxhf,unknown,unknown,unknown
11921,qohwuuzepse,unknown,unknown,unknown
2609,what about a pink chemise,unknown,pink,chemise
13648,siwhtsqkcxn,unknown,unknown,unknown
8634,pkaniaadzn,unknown,unknown,unknown
9269,ujyvktsuizqaiu,unknown,unknown,unknown
4650,dta,unknown,unknown,unknown
15069,lmdthhkszwj,unknown,unknown,unknown
15367,ybqssfppulmotqkxq,unknown,unknown,unknown
15298,xguvlmv,unknown,unknown,unknown
13248,noct,unknown,unknown,unknown
15741,ujgpa,unknown,unknown,unknown
10854,oditeizaj,unknown,unknown,unknown
3397,frhxfjcydti,unknown,unknown,unknown
1568,how much does a green chemise cost,Asking for the price,green,chemise
1480,aqueerlm,unknown,unknown,unknown
8193,uxjlmhpoiilmvo,unknown,unknown,unknown
14388,owsaacjsx,unknown,unknown,unknown
12921,zxgnk,unknown,unknown,unknown
4888,czrssoropbxlmbpjbqs,unknown,unknown,unknown
7874,wpznutnwpjpbibugtqi,unknown,unknown,unknown
13153,xqktnrobuyqzatj,unknown,unknown,unknown
8731,wkhuthgq,unknown,unknown,unknown
11438,xidthkdolmoasri,unknown,unknown,unknown
11230,eoyabht,unknown,unknown,unknown
15852,jrpnt,unknown,unknown,unknown
12601,qcseirsenopfzoanu,unknown,unknown,unknown
16137,zrxccifwiueuae,unknown,unknown,unknown
6705,jxpk,unknown,unknown,unknown
8363,yskuwrei,unknown,unknown,unknown
8856,ujrtnlmlms,unknown,unknown,unknown
4164,rvuxohzfxxtb,unknown,unknown,unknown
13071,jhpntpkdsfru,unknown,unknown,unknown
9472,gcdtsdjtk,unknown,unknown,unknown
711,is there available a gray body,Check Availability,gray,body
16206,yjq,unknown,unknown,unknown
4656,cqudxl,unknown,unknown,unknown
1768,eifsgshqnlmef,unknown,unknown,unknown
7104,i am looking for a black skirt,Check Availability,black,skirt
2233,zxxghbdduk,unknown,unknown,unknown
291,is there available a red jacket,Check Availability,red,jacket
6215,uf,unknown,unknown,unknown
4737,can i find a cyan jeans,Check Availability,cyan,jeans
6771,dadzjiwcoircdh,unknown,unknown,unknown
